customer_id,customer_age,customer_income,home_ownership,employment_duration,loan_intent,loan_grade,loan_amnt,loan_int_rate,term_years,historical_default,cred_hist_length,Current_loan_status,loan_to_income
2.0,21,9600.0,OWN,5.0,EDUCATION,A,1000.0,11.14,1,Unknown,2,NO DEFAULT,0.10416666666666667
3.0,25,9600.0,MORTGAGE,1.0,MEDICAL,B,5500.0,12.87,5,N,3,DEFAULT,0.5729166666666666
4.0,23,65500.0,RENT,4.0,MEDICAL,B,35000.0,15.23,10,N,2,DEFAULT,0.5343511450381679
5.0,24,54400.0,RENT,8.0,MEDICAL,B,35000.0,14.27,10,Y,4,DEFAULT,0.6433823529411765
6.0,21,9900.0,OWN,2.0,VENTURE,A,2500.0,7.14,1,N,2,DEFAULT,0.25252525252525254
7.0,26,77100.0,RENT,8.0,EDUCATION,A,35000.0,12.42,10,Unknown,3,NO DEFAULT,0.45395590142671854
8.0,24,78956.0,RENT,5.0,MEDICAL,A,35000.0,11.11,10,Unknown,4,NO DEFAULT,0.44328486752115104
9.0,24,83000.0,RENT,8.0,PERSONAL,A,35000.0,8.9,10,Unknown,2,NO DEFAULT,0.42168674698795183
10.0,21,10000.0,OWN,6.0,VENTURE,C,1600.0,14.74,1,N,3,DEFAULT,0.16
11.0,22,85000.0,RENT,6.0,VENTURE,A,35000.0,10.37,10,Unknown,4,NO DEFAULT,0.4117647058823529
12.0,21,10000.0,OWN,2.0,HOMEIMPROVEMENT,A,4500.0,8.63,1,N,2,DEFAULT,0.45
13.0,23,95000.0,RENT,2.0,VENTURE,A,35000.0,7.9,10,Unknown,2,NO DEFAULT,0.3684210526315789
14.0,26,108160.0,RENT,4.0,EDUCATION,D,35000.0,18.39,10,N,4,DEFAULT,0.323594674556213
15.0,23,115000.0,RENT,2.0,EDUCATION,A,35000.0,7.9,10,Unknown,4,NO DEFAULT,0.30434782608695654
16.0,23,500000.0,MORTGAGE,7.0,DEBTCONSOLIDATION,A,30000.0,10.65,10,Unknown,3,NO DEFAULT,0.06
17.0,23,120000.0,RENT,0.0,EDUCATION,A,35000.0,7.9,10,Unknown,4,NO DEFAULT,0.2916666666666667
18.0,23,92111.0,RENT,7.0,MEDICAL,E,35000.0,20.25,10,N,4,DEFAULT,0.3799763329026935
19.0,23,113000.0,RENT,8.0,DEBTCONSOLIDATION,C,35000.0,18.25,10,N,4,DEFAULT,0.30973451327433627
20.0,24,10800.0,MORTGAGE,8.0,EDUCATION,A,1750.0,10.99,4,N,2,DEFAULT,0.16203703703703703
21.0,25,162500.0,RENT,2.0,VENTURE,A,35000.0,7.49,10,Unknown,4,NO DEFAULT,0.2153846153846154
22.0,25,137000.0,RENT,9.0,PERSONAL,D,34800.0,16.77,10,Y,2,NO DEFAULT,0.25401459854014596
23.0,22,65000.0,RENT,4.0,EDUCATION,C,34000.0,17.58,10,N,4,DEFAULT,0.5230769230769231
24.0,24,10980.0,OWN,0.0,PERSONAL,A,1500.0,7.29,4,Y,3,NO DEFAULT,0.1366120218579235
25.0,22,80000.0,RENT,3.0,PERSONAL,C,33950.0,14.54,10,Y,4,DEFAULT,0.424375
26.0,24,67746.0,RENT,8.0,HOMEIMPROVEMENT,B,33000.0,12.68,10,N,3,DEFAULT,0.4871136303250376
27.0,21,11000.0,MORTGAGE,3.0,VENTURE,D,4575.0,17.74,1,Y,3,DEFAULT,0.4159090909090909
28.0,23,11000.0,OWN,0.0,PERSONAL,A,1400.0,9.32,3,Unknown,3,NO DEFAULT,0.12727272727272726
29.0,24,65000.0,RENT,6.0,HOMEIMPROVEMENT,A,32500.0,9.99,10,Unknown,3,NO DEFAULT,0.5
30.0,21,11389.0,OTHER,5.0,EDUCATION,B,4000.0,12.84,1,Y,2,DEFAULT,0.3512160856967249
31.0,21,11520.0,OWN,5.0,MEDICAL,A,2000.0,11.12,1,N,3,DEFAULT,0.1736111111111111
32.0,25,120000.0,RENT,2.0,VENTURE,A,32000.0,6.62,10,Unknown,2,NO DEFAULT,0.26666666666666666
33.0,26,95000.0,RENT,7.0,HOMEIMPROVEMENT,B,31050.0,14.17,10,Y,3,DEFAULT,0.3268421052631579
34.0,25,306000.0,RENT,2.0,DEBTCONSOLIDATION,B,24250.0,13.85,10,Unknown,3,NO DEFAULT,0.07924836601307189
35.0,26,300000.0,MORTGAGE,10.0,MEDICAL,B,7800.0,13.49,6,Unknown,4,NO DEFAULT,0.026
36.0,21,12000.0,OWN,5.0,EDUCATION,A,2500.0,7.51,1,N,4,DEFAULT,0.20833333333333334
37.0,22,48000.0,RENT,1.0,EDUCATION,D,30000.0,18.39,10,N,2,DEFAULT,0.625
38.0,24,64000.0,RENT,8.0,DEBTCONSOLIDATION,C,30000.0,14.54,10,Y,3,DEFAULT,0.46875
39.0,25,75000.0,RENT,4.0,HOMEIMPROVEMENT,C,30000.0,16.89,10,Y,4,DEFAULT,0.4
40.0,23,71500.0,RENT,3.0,DEBTCONSOLIDATION,C,30000.0,14.11,10,N,4,DEFAULT,0.4195804195804196
41.0,26,62050.0,RENT,6.0,MEDICAL,D,30000.0,17.99,10,N,2,DEFAULT,0.48348106365834004
42.0,24,12000.0,OWN,4.0,VENTURE,A,2500.0,12.69,4,N,3,DEFAULT,0.20833333333333334
43.0,26,300000.0,MORTGAGE,10.0,VENTURE,A,20000.0,7.88,10,Unknown,4,NO DEFAULT,0.06666666666666667
44.0,23,300000.0,OWN,1.0,EDUCATION,E,24250.0,19.41,10,Y,2,NO DEFAULT,0.08083333333333333
45.0,26,300000.0,OWN,9.0,HOMEIMPROVEMENT,A,10000.0,10.38,6,Unknown,4,NO DEFAULT,0.03333333333333333
46.0,26,300000.0,MORTGAGE,0.0,EDUCATION,C,25000.0,15.33,10,Unknown,3,NO DEFAULT,0.08333333333333333
47.0,25,300000.0,MORTGAGE,9.0,HOMEIMPROVEMENT,D,18000.0,16.45,10,Unknown,3,NO DEFAULT,0.06
48.0,26,80690.0,RENT,8.0,PERSONAL,A,30000.0,7.49,10,Unknown,3,NO DEFAULT,0.37179328293468833
49.0,22,66300.0,RENT,4.0,MEDICAL,A,30000.0,12.69,10,Unknown,3,NO DEFAULT,0.45248868778280543
50.0,26,89028.0,RENT,0.0,DEBTCONSOLIDATION,A,30000.0,6.62,10,Unknown,3,NO DEFAULT,0.33697263782180886
51.0,24,78000.0,RENT,4.0,DEBTCONSOLIDATION,C,30000.0,14.11,10,Y,4,DEFAULT,0.38461538461538464
52.0,23,78000.0,RENT,7.0,DEBTCONSOLIDATION,E,30000.0,18.62,10,Y,3,DEFAULT,0.38461538461538464
53.0,23,92004.0,RENT,6.0,PERSONAL,B,30000.0,15.23,10,Y,3,DEFAULT,0.32607277944437196
54.0,23,97000.0,RENT,7.0,VENTURE,A,30000.0,10.65,10,Y,2,NO DEFAULT,0.30927835051546393
55.0,25,120000.0,RENT,9.0,EDUCATION,A,30000.0,7.9,10,Unknown,4,NO DEFAULT,0.25
56.0,26,280000.0,RENT,4.0,PERSONAL,B,10000.0,15.96,6,Y,3,NO DEFAULT,0.03571428571428571
57.0,26,277104.0,RENT,0.0,VENTURE,A,20000.0,11.48,10,Unknown,3,NO DEFAULT,0.07217506784456378
58.0,23,277000.0,OWN,3.0,PERSONAL,A,35000.0,7.9,10,Unknown,4,NO DEFAULT,0.1263537906137184
